feature,first_appearance_version,first_appearance_date,first_appearance_status,first_unstable_version,first_unstable_date,last_unstable_version,last_unstable_date,stabilized_version,stabilized_date,removed_version,removed_date,latest_status,latest_version,latest_version_date
doc_spotlight,1.22.0,2017-11-22,removed,1.22.0,2017-11-22,,,,,1.22.0,2017-11-22,removed,1.53.0,2021-06-17
dotdot_in_tuple_patterns,1.14.0,2016-12-22,accepted,1.14.0,2016-12-22,,,1.14.0,2016-12-22,,,accepted,1.14.0,2016-12-22
dotdoteq_in_patterns,1.26.0,2018-05-10,accepted,1.26.0,2018-05-10,,,1.26.0,2018-05-10,,,accepted,1.26.0,2018-05-10
drop_types_in_const,1.22.0,2017-11-22,accepted,1.22.0,2017-11-22,,,1.22.0,2017-11-22,,,accepted,1.22.0,2017-11-22
dropck_eyepatch,1.75.0,2023-12-28,unstable,1.75.0,2023-12-28,1.91.1,2025-11-10,,,,,unstable,1.91.1,2025-11-10
dropck_parametricity,1.38.0,2019-09-26,removed,1.38.0,2019-09-26,,,,,1.38.0,2019-09-26,removed,1.38.0,2019-09-26
dyn_compatible_for_dispatch,1.83.0,2024-11-28,unstable,1.83.0,2024-11-28,1.86.0,2025-04-03,,,1.83.0,2024-11-28,removed,1.87.0,2025-05-15
dyn_star,1.65.0,2022-11-03,removed,1.75.0,2023-12-28,1.89.0,2025-08-07,,,1.65.0,2022-11-03,incomplete,1.89.0,2025-08-07
dyn_trait,1.27.0,2018-06-21,accepted,1.27.0,2018-06-21,,,1.27.0,2018-06-21,,,accepted,1.27.0,2018-06-21
effective_target_features,1.91.0,2025-10-30,incomplete,1.91.0,2025-10-30,1.91.1,2025-11-10,,,,,incomplete,1.91.1,2025-11-10
effects,1.75.0,2023-12-28,unstable,1.75.0,2023-12-28,1.83.0,2024-11-28,,,1.84.0,2025-01-09,removed,1.84.0,2025-01-09
ergonomic_clones,1.87.0,2025-05-15,incomplete,1.87.0,2025-05-15,1.91.1,2025-11-10,,,,,incomplete,1.91.1,2025-11-10
ermsb_target_feature,1.75.0,2023-12-28,unstable,1.75.0,2023-12-28,1.91.1,2025-11-10,,,,,unstable,1.91.1,2025-11-10
exclusive_range_pattern,1.75.0,2023-12-28,unstable,1.75.0,2023-12-28,1.79.0,2024-06-13,1.80.0,2024-07-25,,,accepted,1.80.0,2024-07-25
exhaustive_integer_patterns,1.33.0,2019-02-28,accepted,1.33.0,2019-02-28,,,1.33.0,2019-02-28,,,accepted,1.33.0,2019-02-28
exhaustive_patterns,1.75.0,2023-12-28,unstable,1.75.0,2023-12-28,1.91.1,2025-11-10,,,,,unstable,1.91.1,2025-11-10
existential_type,1.38.0,2019-09-26,removed,1.38.0,2019-09-26,,,,,1.38.0,2019-09-26,removed,1.38.0,2019-09-26
explicit_extern_abis,1.88.0,2025-06-26,unstable,1.88.0,2025-06-26,1.91.1,2025-11-10,,,,,unstable,1.91.1,2025-11-10
explicit_generic_args_with_impl_trait,1.63.0,2022-08-11,accepted,1.63.0,2022-08-11,,,1.63.0,2022-08-11,,,accepted,1.63.0,2022-08-11
explicit_tail_calls,1.75.0,2023-12-28,incomplete,1.75.0,2023-12-28,1.91.1,2025-11-10,,,,,incomplete,1.91.1,2025-11-10
export_stable,1.88.0,2025-06-26,incomplete,1.88.0,2025-06-26,1.91.1,2025-11-10,,,,,incomplete,1.91.1,2025-11-10
expr_fragment_specifier_2024,1.80.0,2024-07-25,incomplete,1.80.0,2024-07-25,1.82.0,2024-10-17,1.83.0,2024-11-28,,,accepted,1.83.0,2024-11-28
extended_key_value_attributes,1.54.0,2021-07-29,accepted,1.54.0,2021-07-29,,,1.54.0,2021-07-29,,,accepted,1.54.0,2021-07-29
extended_varargs_abi_support,1.75.0,2023-12-28,unstable,1.75.0,2023-12-28,1.90.0,2025-09-18,1.91.0,2025-10-30,,,accepted,1.91.0,2025-10-30
extern_absolute_paths,1.30.0,2018-10-25,accepted,1.30.0,2018-10-25,,,1.30.0,2018-10-25,,,accepted,1.30.0,2018-10-25
extern_crate_item_prelude,1.31.0,2018-12-06,accepted,1.31.0,2018-12-06,,,1.31.0,2018-12-06,,,accepted,1.31.0,2018-12-06
extern_crate_self,1.34.0,2019-04-11,accepted,1.34.0,2019-04-11,,,1.34.0,2019-04-11,,,accepted,1.34.0,2019-04-11
extern_in_paths,1.33.0,2019-02-28,removed,1.33.0,2019-02-28,,,,,1.33.0,2019-02-28,removed,1.33.0,2019-02-28
extern_prelude,1.30.0,2018-10-25,accepted,1.30.0,2018-10-25,,,1.30.0,2018-10-25,,,accepted,1.30.0,2018-10-25
extern_system_varargs,1.86.0,2025-04-03,unstable,1.86.0,2025-04-03,1.91.1,2025-11-10,,,,,unstable,1.91.1,2025-11-10
extern_types,1.75.0,2023-12-28,unstable,1.75.0,2023-12-28,1.91.1,2025-11-10,,,,,unstable,1.91.1,2025-11-10
external_doc,1.54.0,2021-07-29,removed,1.54.0,2021-07-29,,,,,1.54.0,2021-07-29,removed,1.54.0,2021-07-29
f128,1.78.0,2024-05-02,unstable,1.78.0,2024-05-02,1.91.1,2025-11-10,,,,,unstable,1.91.1,2025-11-10
f16,1.78.0,2024-05-02,unstable,1.78.0,2024-05-02,1.91.1,2025-11-10,,,,,unstable,1.91.1,2025-11-10
f16c_target_feature,1.68.0,2023-03-09,accepted,1.68.0,2023-03-09,,,1.68.0,2023-03-09,,,accepted,1.68.0,2023-03-09
ffi_const,1.75.0,2023-12-28,unstable,1.75.0,2023-12-28,1.91.1,2025-11-10,,,,,unstable,1.91.1,2025-11-10
ffi_pure,1.75.0,2023-12-28,unstable,1.75.0,2023-12-28,1.91.1,2025-11-10,,,,,unstable,1.91.1,2025-11-10
ffi_returns_twice,1.75.0,2023-12-28,unstable,1.75.0,2023-12-28,1.77.2,2024-04-09,,,1.78.0,2024-05-02,removed,1.78.0,2024-05-02
field_init_shorthand,1.17.0,2017-04-27,accepted,1.17.0,2017-04-27,,,1.17.0,2017-04-27,,,accepted,1.17.0,2017-04-27
fmt_debug,1.82.0,2024-10-17,unstable,1.82.0,2024-10-17,1.91.1,2025-11-10,,,,,unstable,1.91.1,2025-11-10
fn_align,1.75.0,2023-12-28,unstable,1.75.0,2023-12-28,1.91.1,2025-11-10,,,,,unstable,1.91.1,2025-11-10
fn_delegation,1.76.0,2024-02-08,incomplete,1.76.0,2024-02-08,1.91.1,2025-11-10,,,,,incomplete,1.91.1,2025-11-10
fn_must_use,1.27.0,2018-06-21,accepted,1.27.0,2018-06-21,,,1.27.0,2018-06-21,,,accepted,1.27.0,2018-06-21
format_args_capture,1.58.0,2022-01-13,accepted,1.58.0,2022-01-13,,,1.58.0,2022-01-13,,,accepted,1.58.0,2022-01-13
freeze_impls,1.78.0,2024-05-02,internal,1.78.0,2024-05-02,1.91.1,2025-11-10,,,,,internal,1.91.1,2025-11-10
frontmatter,1.88.0,2025-06-26,unstable,1.88.0,2025-06-26,1.91.1,2025-11-10,,,,,unstable,1.91.1,2025-11-10
fundamental,1.75.0,2023-12-28,unstable,1.75.0,2023-12-28,1.91.1,2025-11-10,,,,,unstable,1.91.1,2025-11-10
gen_blocks,1.75.0,2023-12-28,unstable,1.75.0,2023-12-28,1.91.1,2025-11-10,,,,,unstable,1.91.1,2025-11-10
generator_clone,1.65.0,2022-11-03,removed,1.65.0,2022-11-03,,,,,1.65.0,2022-11-03,removed,1.75.0,2023-12-28
generators,1.21.0,2017-10-12,removed,1.21.0,2017-10-12,,,,,1.21.0,2017-10-12,removed,1.75.0,2023-12-28
generic_arg_infer,1.75.0,2023-12-28,unstable,1.75.0,2023-12-28,1.88.0,2025-06-26,1.89.0,2025-08-07,,,accepted,1.89.0,2025-08-07
generic_assert,1.75.0,2023-12-28,unstable,1.75.0,2023-12-28,1.91.1,2025-11-10,,,,,unstable,1.91.1,2025-11-10
generic_associated_types,1.65.0,2022-11-03,accepted,1.65.0,2022-11-03,,,1.65.0,2022-11-03,,,accepted,1.65.0,2022-11-03
generic_associated_types_extended,1.75.0,2023-12-28,incomplete,1.75.0,2023-12-28,1.84.1,2025-01-30,,,1.85.0,2025-02-20,removed,1.85.0,2025-02-20
generic_const_exprs,1.75.0,2023-12-28,incomplete,1.75.0,2023-12-28,1.91.1,2025-11-10,,,,,incomplete,1.91.1,2025-11-10
generic_const_items,1.75.0,2023-12-28,incomplete,1.75.0,2023-12-28,1.91.1,2025-11-10,,,,,incomplete,1.91.1,2025-11-10
generic_const_parameter_types,1.87.0,2025-05-15,incomplete,1.87.0,2025-05-15,1.91.1,2025-11-10,,,,,incomplete,1.91.1,2025-11-10
generic_param_attrs,1.27.0,2018-06-21,accepted,1.27.0,2018-06-21,,,1.27.0,2018-06-21,,,accepted,1.27.0,2018-06-21
generic_pattern_types,1.86.0,2025-04-03,incomplete,1.86.0,2025-04-03,1.91.1,2025-11-10,,,,,incomplete,1.91.1,2025-11-10
global_allocator,1.28.0,2018-08-02,accepted,1.28.0,2018-08-02,,,1.28.0,2018-08-02,,,accepted,1.28.0,2018-08-02
global_registration,1.80.0,2024-07-25,unstable,1.80.0,2024-07-25,1.91.1,2025-11-10,,,,,unstable,1.91.1,2025-11-10
globs,1.0.0,2015-05-15,accepted,1.0.0,2015-05-15,,,1.0.0,2015-05-15,,,accepted,1.0.0,2015-05-15
guard_patterns,1.85.0,2025-02-20,incomplete,1.85.0,2025-02-20,1.91.1,2025-11-10,,,,,incomplete,1.91.1,2025-11-10
half_open_range_patterns,1.66.0,2022-12-15,accepted,1.66.0,2022-12-15,,,1.66.0,2022-12-15,,,accepted,1.66.0,2022-12-15
half_open_range_patterns_in_slices,1.75.0,2023-12-28,unstable,1.75.0,2023-12-28,1.91.1,2025-11-10,,,,,unstable,1.91.1,2025-11-10
hexagon_target_feature,1.75.0,2023-12-28,unstable,1.75.0,2023-12-28,1.91.1,2025-11-10,,,,,unstable,1.91.1,2025-11-10
i128_type,1.26.0,2018-05-10,accepted,1.26.0,2018-05-10,,,1.26.0,2018-05-10,,,accepted,1.26.0,2018-05-10
if_let,1.0.0,2015-05-15,accepted,1.0.0,2015-05-15,,,1.0.0,2015-05-15,,,accepted,1.0.0,2015-05-15
if_let_guard,1.75.0,2023-12-28,unstable,1.75.0,2023-12-28,1.91.1,2025-11-10,,,,,unstable,1.91.1,2025-11-10
if_let_rescope,1.83.0,2024-11-28,unstable,1.83.0,2024-11-28,1.83.0,2024-11-28,1.84.0,2025-01-09,,,accepted,1.84.0,2025-01-09
if_while_or_patterns,1.33.0,2019-02-28,accepted,1.33.0,2019-02-28,,,1.33.0,2019-02-28,,,accepted,1.33.0,2019-02-28
impl_header_lifetime_elision,1.31.0,2018-12-06,accepted,1.31.0,2018-12-06,,,1.31.0,2018-12-06,,,accepted,1.31.0,2018-12-06
impl_trait_in_assoc_type,1.75.0,2023-12-28,unstable,1.75.0,2023-12-28,1.91.1,2025-11-10,,,,,unstable,1.91.1,2025-11-10
impl_trait_in_bindings,1.55.0,2021-09-09,removed,1.85.0,2025-02-20,1.91.1,2025-11-10,,,1.55.0,2021-09-09,unstable,1.91.1,2025-11-10
impl_trait_in_fn_trait_return,1.75.0,2023-12-28,unstable,1.75.0,2023-12-28,1.91.1,2025-11-10,,,,,unstable,1.91.1,2025-11-10
impl_trait_projections,1.74.0,2023-11-16,accepted,1.74.0,2023-11-16,,,1.74.0,2023-11-16,,,accepted,1.74.0,2023-11-16
import_shadowing,1.0.0,2015-05-15,removed,1.0.0,2015-05-15,,,,,1.0.0,2015-05-15,removed,1.0.0,2015-05-15
import_trait_associated_functions,1.86.0,2025-04-03,unstable,1.86.0,2025-04-03,1.91.1,2025-11-10,,,,,unstable,1.91.1,2025-11-10
imported_main,1.75.0,2023-12-28,unstable,1.75.0,2023-12-28,1.78.0,2024-05-02,1.79.0,2024-06-13,,,accepted,1.79.0,2024-06-13
in_band_lifetimes,1.23.0,2018-01-04,removed,1.23.0,2018-01-04,,,,,1.23.0,2018-01-04,removed,1.61.0,2022-05-19
inclusive_range_syntax,1.26.0,2018-05-10,accepted,1.26.0,2018-05-10,,,1.26.0,2018-05-10,,,accepted,1.26.0,2018-05-10
infer_outlives_requirements,1.30.0,2018-10-25,accepted,1.30.0,2018-10-25,,,1.30.0,2018-10-25,,,accepted,1.30.0,2018-10-25
infer_static_outlives_requirements,1.63.0,2022-08-11,removed,1.63.0,2022-08-11,,,,,1.63.0,2022-08-11,removed,1.63.0,2022-08-11
inherent_associated_types,1.75.0,2023-12-28,incomplete,1.75.0,2023-12-28,1.91.1,2025-11-10,,,,,incomplete,1.91.1,2025-11-10
inline_const,1.75.0,2023-12-28,unstable,1.75.0,2023-12-28,1.78.0,2024-05-02,1.79.0,2024-06-13,,,accepted,1.79.0,2024-06-13
inline_const_pat,1.75.0,2023-12-28,incomplete,1.75.0,2023-12-28,1.87.0,2025-05-15,,,1.88.0,2025-06-26,removed,1.88.0,2025-06-26
intra_doc_pointers,1.75.0,2023-12-28,unstable,1.75.0,2023-12-28,1.91.1,2025-11-10,,,,,unstable,1.91.1,2025-11-10
intrinsics,1.75.0,2023-12-28,internal,1.75.0,2023-12-28,1.91.1,2025-11-10,,,,,internal,1.91.1,2025-11-10
irrefutable_let_patterns,1.33.0,2019-02-28,accepted,1.33.0,2019-02-28,,,1.33.0,2019-02-28,,,accepted,1.33.0,2019-02-28
isa_attribute,1.67.0,2023-01-26,accepted,1.67.0,2023-01-26,,,1.67.0,2023-01-26,,,accepted,1.67.0,2023-01-26
issue_5723_bootstrap,1.0.0,2015-05-15,accepted,1.0.0,2015-05-15,,,1.0.0,2015-05-15,,,accepted,1.0.0,2015-05-15
item_like_imports,1.14.0,2016-12-22,accepted,1.14.0,2016-12-22,,,1.14.0,2016-12-22,,,accepted,1.15.0,2017-02-02
keylocker_x86,1.86.0,2025-04-03,unstable,1.86.0,2025-04-03,1.88.0,2025-06-26,1.89.0,2025-08-07,,,accepted,1.89.0,2025-08-07
label_break_value,1.65.0,2022-11-03,accepted,1.65.0,2022-11-03,,,1.65.0,2022-11-03,,,accepted,1.65.0,2022-11-03
lahfsahf_target_feature,1.78.0,2024-05-02,unstable,1.78.0,2024-05-02,1.91.1,2025-11-10,,,,,unstable,1.91.1,2025-11-10
lang_items,1.75.0,2023-12-28,internal,1.75.0,2023-12-28,1.91.1,2025-11-10,,,,,internal,1.91.1,2025-11-10
large_assignments,1.75.0,2023-12-28,unstable,1.75.0,2023-12-28,1.91.1,2025-11-10,,,,,unstable,1.91.1,2025-11-10
lazy_normalization_consts,1.46.0,2020-08-27,removed,1.46.0,2020-08-27,,,,,1.46.0,2020-08-27,removed,1.56.0,2021-10-21
lazy_type_alias,1.75.0,2023-12-28,incomplete,1.75.0,2023-12-28,1.91.1,2025-11-10,,,,,incomplete,1.91.1,2025-11-10
let_chains,1.75.0,2023-12-28,unstable,1.75.0,2023-12-28,1.89.0,2025-08-07,1.88.0,2025-06-26,,,unstable,1.89.0,2025-08-07
let_else,1.65.0,2022-11-03,accepted,1.65.0,2022-11-03,,,1.65.0,2022-11-03,,,accepted,1.65.0,2022-11-03
lifetime_capture_rules_2024,1.76.0,2024-02-08,unstable,1.76.0,2024-02-08,1.86.0,2025-04-03,,,1.76.0,2024-02-08,removed,1.87.0,2025-05-15
link_arg_attribute,1.76.0,2024-02-08,unstable,1.76.0,2024-02-08,1.91.1,2025-11-10,,,,,unstable,1.91.1,2025-11-10
link_args,1.53.0,2021-06-17,removed,1.53.0,2021-06-17,,,,,1.53.0,2021-06-17,removed,1.53.0,2021-06-17
link_cfg,1.75.0,2023-12-28,unstable,1.75.0,2023-12-28,1.91.1,2025-11-10,,,,,internal,1.91.1,2025-11-10
link_llvm_intrinsics,1.75.0,2023-12-28,internal,1.75.0,2023-12-28,1.91.1,2025-11-10,,,,,internal,1.91.1,2025-11-10
linkage,1.75.0,2023-12-28,unstable,1.75.0,2023-12-28,1.91.1,2025-11-10,,,,,unstable,1.91.1,2025-11-10
lint_reasons,1.75.0,2023-12-28,unstable,1.75.0,2023-12-28,1.80.1,2024-08-08,1.81.0,2024-09-05,,,accepted,1.81.0,2024-09-05
loongarch_target_feature,1.75.0,2023-12-28,unstable,1.75.0,2023-12-28,1.91.1,2025-11-10,,,,,unstable,1.91.1,2025-11-10
loop_break_value,1.19.0,2017-07-20,accepted,1.19.0,2017-07-20,,,1.19.0,2017-07-20,,,accepted,1.19.0,2017-07-20
loop_match,1.90.0,2025-09-18,incomplete,1.90.0,2025-09-18,1.91.1,2025-11-10,,,,,incomplete,1.91.1,2025-11-10
m68k_target_feature,1.85.0,2025-02-20,unstable,1.85.0,2025-02-20,1.91.1,2025-11-10,,,,,unstable,1.91.1,2025-11-10
macro_at_most_once_rep,1.32.0,2019-01-17,accepted,1.32.0,2019-01-17,,,1.32.0,2019-01-17,,,accepted,1.32.0,2019-01-17
macro_attr,1.91.0,2025-10-30,unstable,1.91.0,2025-10-30,1.91.1,2025-11-10,,,,,unstable,1.91.1,2025-11-10
macro_attributes_in_derive_output,1.57.0,2021-12-02,accepted,1.57.0,2021-12-02,,,1.57.0,2021-12-02,,,accepted,1.57.0,2021-12-02
macro_derive,1.91.0,2025-10-30,unstable,1.91.0,2025-10-30,1.91.1,2025-11-10,,,,,unstable,1.91.1,2025-11-10
macro_lifetime_matcher,1.27.0,2018-06-21,accepted,1.27.0,2018-06-21,,,1.27.0,2018-06-21,,,accepted,1.27.0,2018-06-21
macro_literal_matcher,1.31.0,2018-12-06,accepted,1.31.0,2018-12-06,,,1.31.0,2018-12-06,,,accepted,1.32.0,2019-01-17
macro_metavar_expr,1.75.0,2023-12-28,unstable,1.75.0,2023-12-28,1.91.1,2025-11-10,,,,,unstable,1.91.1,2025-11-10
macro_metavar_expr_concat,1.81.0,2024-09-05,unstable,1.81.0,2024-09-05,1.91.1,2025-11-10,,,,,unstable,1.91.1,2025-11-10
macro_reexport,1.0.0,2015-05-15,removed,1.0.0,2015-05-15,,,,,1.0.0,2015-05-15,removed,1.0.0,2015-05-15
macro_rules,1.0.0,2015-05-15,accepted,1.0.0,2015-05-15,,,1.0.0,2015-05-15,,,accepted,1.0.0,2015-05-15
macro_vis_matcher,1.30.0,2018-10-25,accepted,1.30.0,2018-10-25,,,1.30.0,2018-10-25,,,accepted,1.30.0,2018-10-25
macros_in_extern,1.40.0,2019-12-19,accepted,1.40.0,2019-12-19,,,1.40.0,2019-12-19,,,accepted,1.40.0,2019-12-19
main,1.53.0,2021-06-17,removed,1.53.0,2021-06-17,,,,,1.53.0,2021-06-17,removed,1.53.0,2021-06-17
managed_boxes,1.0.0,2015-05-15,removed,1.0.0,2015-05-15,,,,,1.0.0,2015-05-15,removed,1.0.0,2015-05-15
marker_trait_attr,1.75.0,2023-12-28,unstable,1.75.0,2023-12-28,1.91.1,2025-11-10,,,,,unstable,1.91.1,2025-11-10
match_beginning_vert,1.25.0,2018-03-29,accepted,1.25.0,2018-03-29,,,1.25.0,2018-03-29,,,accepted,1.25.0,2018-03-29
match_default_bindings,1.26.0,2018-05-10,accepted,1.26.0,2018-05-10,,,1.26.0,2018-05-10,,,accepted,1.26.0,2018-05-10
member_constraints,1.54.0,2021-07-29,accepted,1.54.0,2021-07-29,,,1.54.0,2021-07-29,,,accepted,1.54.0,2021-07-29
min_const_fn,1.31.0,2018-12-06,accepted,1.31.0,2018-12-06,,,1.31.0,2018-12-06,,,accepted,1.31.0,2018-12-06
min_const_generics,1.51.0,2021-03-25,accepted,1.51.0,2021-03-25,,,1.51.0,2021-03-25,,,accepted,1.51.0,2021-03-25
min_const_unsafe_fn,1.33.0,2019-02-28,accepted,1.33.0,2019-02-28,,,1.33.0,2019-02-28,,,accepted,1.33.0,2019-02-28
min_exhaustive_patterns,1.77.0,2024-03-21,incomplete,1.77.0,2024-03-21,1.81.0,2024-09-05,1.82.0,2024-10-17,,,accepted,1.82.0,2024-10-17
min_generic_const_args,1.84.0,2025-01-09,incomplete,1.84.0,2025-01-09,1.91.1,2025-11-10,,,,,incomplete,1.91.1,2025-11-10
min_specialization,1.75.0,2023-12-28,unstable,1.75.0,2023-12-28,1.91.1,2025-11-10,,,,,unstable,1.91.1,2025-11-10
min_type_alias_impl_trait,1.56.0,2021-10-21,removed,1.56.0,2021-10-21,,,,,1.56.0,2021-10-21,removed,1.56.0,2021-10-21
mips_target_feature,1.75.0,2023-12-28,unstable,1.75.0,2023-12-28,1.91.1,2025-11-10,,,,,unstable,1.91.1,2025-11-10
more_maybe_bounds,1.82.0,2024-10-17,internal,1.82.0,2024-10-17,1.91.1,2025-11-10,,,,,internal,1.91.1,2025-11-10
more_qualified_paths,1.75.0,2023-12-28,unstable,1.75.0,2023-12-28,1.91.1,2025-11-10,,,,,unstable,1.91.1,2025-11-10
more_struct_aliases,1.14.0,2016-12-22,accepted,1.14.0,2016-12-22,,,1.14.0,2016-12-22,,,accepted,1.16.0,2017-03-16
movbe_target_feature,1.70.0,2023-06-01,accepted,1.70.0,2023-06-01,,,1.70.0,2023-06-01,,,accepted,1.70.0,2023-06-01
move_ref_pattern,1.48.0,2020-11-19,accepted,1.48.0,2020-11-19,,,1.48.0,2020-11-19,,,accepted,1.49.0,2020-12-31
movrs_target_feature,1.88.0,2025-06-26,unstable,1.88.0,2025-06-26,1.91.1,2025-11-10,,,,,unstable,1.91.1,2025-11-10
multiple_supertrait_upcastable,1.75.0,2023-12-28,unstable,1.75.0,2023-12-28,1.91.1,2025-11-10,,,,,unstable,1.91.1,2025-11-10
must_not_suspend,1.75.0,2023-12-28,unstable,1.75.0,2023-12-28,1.91.1,2025-11-10,,,,,unstable,1.91.1,2025-11-10
mut_preserve_binding_mode_2024,1.79.0,2024-06-13,incomplete,1.79.0,2024-06-13,1.79.0,2024-06-13,,,1.79.0,2024-06-13,removed,1.80.0,2024-07-25
mut_ref,1.79.0,2024-06-13,incomplete,1.79.0,2024-06-13,1.91.1,2025-11-10,,,,,incomplete,1.91.1,2025-11-10
naked_functions,1.75.0,2023-12-28,unstable,1.75.0,2023-12-28,1.87.0,2025-05-15,1.88.0,2025-06-26,,,accepted,1.88.0,2025-06-26
naked_functions_rustic_abi,1.88.0,2025-06-26,unstable,1.88.0,2025-06-26,1.91.1,2025-11-10,,,,,unstable,1.91.1,2025-11-10
naked_functions_target_feature,1.87.0,2025-05-15,unstable,1.87.0,2025-05-15,1.91.1,2025-11-10,,,,,unstable,1.91.1,2025-11-10
native_link_modifiers,1.61.0,2022-05-19,accepted,1.61.0,2022-05-19,,,1.61.0,2022-05-19,,,accepted,1.61.0,2022-05-19
native_link_modifiers_as_needed,1.75.0,2023-12-28,unstable,1.75.0,2023-12-28,1.91.1,2025-11-10,,,,,unstable,1.91.1,2025-11-10
native_link_modifiers_bundle,1.63.0,2022-08-11,accepted,1.63.0,2022-08-11,,,1.63.0,2022-08-11,,,accepted,1.63.0,2022-08-11
native_link_modifiers_verbatim,1.67.0,2023-01-26,accepted,1.67.0,2023-01-26,,,1.67.0,2023-01-26,,,accepted,1.67.0,2023-01-26
native_link_modifiers_whole_archive,1.61.0,2022-05-19,accepted,1.61.0,2022-05-19,,,1.61.0,2022-05-19,,,accepted,1.61.0,2022-05-19
needs_allocator,1.4.0,2015-10-29,removed,1.4.0,2015-10-29,,,,,1.4.0,2015-10-29,removed,1.4.0,2015-10-29
needs_panic_runtime,1.75.0,2023-12-28,internal,1.75.0,2023-12-28,1.91.1,2025-11-10,,,,,internal,1.91.1,2025-11-10
negate_unsigned,1.0.0,2015-05-15,removed,1.0.0,2015-05-15,,,,,1.0.0,2015-05-15,removed,1.0.0,2015-05-15
negative_bounds,1.75.0,2023-12-28,incomplete,1.75.0,2023-12-28,1.91.1,2025-11-10,,,,,internal,1.91.1,2025-11-10
negative_impls,1.75.0,2023-12-28,unstable,1.75.0,2023-12-28,1.91.1,2025-11-10,,,,,unstable,1.91.1,2025-11-10
never_patterns,1.76.0,2024-02-08,incomplete,1.76.0,2024-02-08,1.91.1,2025-11-10,,,,,incomplete,1.91.1,2025-11-10
never_type,1.75.0,2023-12-28,unstable,1.75.0,2023-12-28,1.91.1,2025-11-10,,,,,unstable,1.91.1,2025-11-10
never_type_fallback,1.75.0,2023-12-28,unstable,1.75.0,2023-12-28,1.91.1,2025-11-10,,,,,unstable,1.91.1,2025-11-10
new_range,1.86.0,2025-04-03,unstable,1.86.0,2025-04-03,1.91.1,2025-11-10,,,,,unstable,1.91.1,2025-11-10
nll,1.63.0,2022-08-11,accepted,1.63.0,2022-08-11,,,1.63.0,2022-08-11,,,accepted,1.63.0,2022-08-11
no_core,1.75.0,2023-12-28,unstable,1.75.0,2023-12-28,1.91.1,2025-11-10,,,,,unstable,1.91.1,2025-11-10
no_coverage,1.74.0,2023-11-16,removed,1.74.0,2023-11-16,,,,,1.74.0,2023-11-16,removed,1.74.0,2023-11-16
no_debug,1.43.0,2020-04-23,removed,1.43.0,2020-04-23,,,,,1.43.0,2020-04-23,removed,1.43.0,2020-04-23
no_sanitize,1.75.0,2023-12-28,unstable,1.75.0,2023-12-28,1.90.0,2025-09-18,,,1.91.0,2025-10-30,removed,1.91.0,2025-10-30
no_stack_check,1.0.0,2015-05-15,removed,1.0.0,2015-05-15,,,,,1.0.0,2015-05-15,removed,1.0.0,2015-05-15
no_std,1.0.0,2015-05-15,accepted,1.0.0,2015-05-15,,,1.0.0,2015-05-15,,,accepted,1.6.0,2016-01-21
non_ascii_idents,1.53.0,2021-06-17,accepted,1.53.0,2021-06-17,,,1.53.0,2021-06-17,,,accepted,1.53.0,2021-06-17
non_exhaustive,1.40.0,2019-12-19,accepted,1.40.0,2019-12-19,,,1.40.0,2019-12-19,,,accepted,1.40.0,2019-12-19
non_exhaustive_omitted_patterns_lint,1.75.0,2023-12-28,unstable,1.75.0,2023-12-28,1.91.1,2025-11-10,,,,,unstable,1.91.1,2025-11-10
non_lifetime_binders,1.75.0,2023-12-28,incomplete,1.75.0,2023-12-28,1.91.1,2025-11-10,,,,,incomplete,1.91.1,2025-11-10
non_modrs_mods,1.30.0,2018-10-25,accepted,1.30.0,2018-10-25,,,1.30.0,2018-10-25,,,accepted,1.30.0,2018-10-25
nvptx_target_feature,1.91.0,2025-10-30,unstable,1.91.0,2025-10-30,1.91.1,2025-11-10,,,,,unstable,1.91.1,2025-11-10
